Nederlandse naam,Wetenschappelijke naam,Familie,Bloeiperiode,Indicatorwaarde,Beschrijving
Blauwe knoop,Succisa pratensis,Caprifoliaceae,Juli-Oktober,Natte schrale graslanden,Vaste plant met blauw-paarse bloemhoofdjes. Belangrijke waardplant voor het Gentiaanblauwtje.
Brede orchis,Dactylorhiza majalis,Orchidaceae,Mei-Juni,Natte hooilanden,Opvallende orchidee met paars-roze bloemen. Indicator voor goed beheerde blauwgraslanden.
Echte koekoeksbloem,Silene flos-cuculi,Caryophyllaceae,Mei-Juli,Vochtige graslanden,Sierlijke roze bloemen met diep ingesneden kroonbladen. Algemeen in natte weilanden.
Grote ratelaar,Rhinanthus angustifolius,Orobanchaceae,Mei-Augustus,Schrale graslanden,Halfparasiet op grassen. Ratelt bij rijpheid. Bevordert kruidenrijkdom.
Spaanse ruiter,Cirsium dissectum,Asteraceae,Juni-Augustus,Blauwgraslanden,Distelachtige met paarse bloemen. Kenmerkend voor schrale natte graslanden.
Klokgentiaan,Gentiana pneumonanthe,Gentianaceae,Juli-September,Vochtige heide en blauwgrasland,Prachtige blauwe klokvormige bloemen. Zeldzaam en beschermd.
Moeraskartelblad,Pedicularis palustris,Orobanchaceae,Mei-Juli,Trilvenen en blauwgraslanden,Halfparasiet met roze bloemen. Zeer zeldzaam geworden.
Veenpluis,Eriophorum angustifolium,Cyperaceae,April-Mei,Natte veengronden,Wollige witte pluizen. Indicator voor natte, voedselarme omstandigheden.
Zompzegge,Carex curta,Cyperaceae,Mei-Juni,Natte veengronden,Kleine zegge van voedselarme natte plekken. Indicator voor kwelwater.
Dotterbloem,Caltha palustris,Ranunculaceae,Maart-Mei,Natte graslanden en slootkanten,Vroege voorjaarsbloeier met goudgele bloemen. Algemeen in natte gebieden.
